tweet_id,file_name,completeness,content_type,text_body,username,image_text_description,likes,replies,retweets,views,time_of_post,promotional_or_irrelevant,pro_trump,hostile_to_trump,sarcastic_about_trump,ambivalent_about_trump,nationalist_pro_trump,anti_elite_pro_trump,fearful_pro_trump,optimistic_about_trump,skeptical_of_trump,disengaged_from_trump
1839971510259249237,screenshot_12.png,1,tweet,Kamala Harris claims the border is a long-standing priority. If it's a priority, why is it,FahmKhan,A tweet expressing a question about the border crisis and Kamala Harris\'s stance on it. The image likely conveys a sense of questioning or skepticism towards the administration's approach.,0,0,0,0,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_12.png,1,tweet,"\ALL IMMIGRANTS WELCOME\""""",NevadanSay,"A tweet with an image of a t-shirt that says \\\All Immigrants Welcome\\\"" . The image likely conveys a message of inclusivity and welcoming immigrants. The emotion is likely positive and supportive of immigration.""",468,10,4,2595,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_12.png,1,tweet,45th President of the United States of America. Thank you Kamala.,Nadia_Pablo,A tweet expressing gratitude to Kamala Harris. The image likely conveys a sense of appreciation and respect. The emotion is likely positive and supportive of Kamala Harris.,12,2,1,57,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_13.png,1,tweet,Why didn't you close the border? Why did you ask Congress for help?,realDonaldTrump,A screenshot of a tweet from Donald Trump, showing a video of him. The image conveys a sense of questioning and possibly frustration or accusation.,100,10,10,1000,Sep 28,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_13.png,1,reply,Democrats are destroying this country. Vote Trump in November!,MattHalstead,A tweet from MattHalstead, expressing strong support for Donald Trump and criticizing the Democrats. The image conveys a sense of political engagement and strong opinions.,2,3,0,100,Sep 28,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_13.png,1,tweet,President Trump will bring back the jobs.,farhankhan,A tweet from farhankhan, expressing optimism about President Trump's ability to bring back jobs. The image conveys a sense of hope and support for the president.,4,0,0,50,Sep 28,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_16.png,1,tweet,And another $5,000 with sexual accusations. Another 45,000 with illegal records.,MrSiege,A tweet expressing concern or criticism about someone, likely a political figure, based on accusations of sexual misconduct and illegal activities. The tone is critical and potentially negative.,4,1,57,459,Sep 28,false,-0.8,0.7,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_16.png,1,tweet,#ItsTimeToSaveThisGreatNation,FarhanKhan,A tweet expressing support for a political figure, likely a political leader, with a call to action. The tone is positive and potentially supportive of a political cause.,1,1,1,3,Sep 28,false,0.9,-0.8,0.0,0.0,0.8,0.0,0.0,0.9
1839971510259249237,screenshot_16.png,1,tweet,How do they know that?\nIf they are all running everywhere,howanoodle,A tweet asking a question about the validity of information or actions. The tone is skeptical and potentially critical.,4,0,0,90,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_19.png,1,tweet,Subscribe to Premium to write your own long posts and write posts in fast formatting such as bold and italic.,45th President of the United States of America,A promotional tweet for a premium subscription service, likely for writing longer posts with formatting options. The image conveys a sense of professional and organized writing.,0,0,0,0,Sep 28,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_19.png,1,tweet,TODD BISENGO on the AMA - Biden administration turning its back on crucial U.S. interests in the Southern Hemisphere. Opportunity to secure and hand-over known resources to GOLDEN TERRORISTS AND TERRORIST INFRASTRUCTURE.,Kimberly K!n,A tweet expressing concern about the Biden administration's policies in the Southern Hemisphere. The image conveys a sense of worry and criticism.,0,0,0,0,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_19.png,1,tweet,Good things coming! #Trump2024,Farhan Khan,A tweet expressing optimism about a future event, likely related to a political campaign. The image conveys a sense of hope and support.,0,0,0,0,Sep 28,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_20.png,1,tweet,Those crossing our border should NOT be deported to their country of origin, they should be stopped. That's how you stop illegal immigration.  #StopIllegalImmigration #BorderSecurity,Craig_Meighan,The image shows a muscular man in a skin-tight, dark-red top. The image is likely intended to convey a sense of strength and authority, possibly related to border security or immigration control.,10,0,0,10,Sep 29, 2023,false,1.0,0.0,0.0,0.0,1.0,0.0
1839971510259249237,screenshot_20.png,1,tweet,It was all. Me. Who lead back to this country.  You can't even blame me. Who frankly put Putin in control.  The benefit of it all.  At the bottom, it's assassination - Cuban Illegal Immigrants,FarhanKhan9541,The image shows a man with a serious expression. The image is likely intended to convey a sense of concern or anger about the topic of immigration.,2,0,3,15,Sep 29, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_22.png,1,tweet,Save America! They want our votes.  This needs to stop. Why is it so important across the world, because criminals are dumping into the USA.  RE: Truth if you vote Trump, he can start the largest deportation operation in American history.,Save America,"A graphic image with the text ""TOO BIG TO RIG"" in large", bold letters, displayed over a picture of people in a political rally. The image conveys a sense of urgency and opposition to election fraud.,146000,57,0,0,Sep 28, 2024,false,1.0,0.0,0.0,0.0,1.0
1839971510259249237,screenshot_22.png,1,tweet,Subscribe to Premium to write your own posts and articles. Write longer posts easily formatting with bold, italic and more.,e-CitizenJournal,A promotional image for a premium subscription service, likely for a news or social media platform. The image conveys a sense of opportunity and access to more advanced features.,430,3,0,2588,Sep 28, 2024,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_22.png,1,tweet,48th President of the United States of America,e-CitizenJournal,"A simple image with the text ""48th President of the United States of America"". The image conveys a sense of formality and historical context.",0,0,0,0,Sep 28, 2024,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_24.png,1,tweet,How on Earth did Reps. @CarlosGimenezFL & @RepSwalwell allow this to happen in our districts?  Sleeping on the job. #DC #RepubicansSupportingRussia #WhatTheActualFck?,LyzDeLay,The image shows a screenshot of a tweet expressing outrage and questioning the actions of two Representatives. The emotion conveyed is anger and disappointment,1,1,1,2583,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_24.png,1,tweet,Big Brother's car instructions,LyzDeLay,The image shows a screenshot of a tweet with a picture of a man in a car. The emotion conveyed is likely one of satire or commentary on government surveillance,2,3,3,2583,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_24.png,1,tweet,Who counted them?,tyrone chafed,The image shows a screenshot of a tweet with a question. The emotion conveyed is likely one of skepticism or questioning the validity of something,1,0,0,150,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_27.png,1,tweet,Subscribe to Premium to write your own posts and tailor posts with longer text, fast formatting such as bold and italic.,K242878,A screenshot of a Twitter post, likely a promotional tweet for a premium subscription service. The image shows a call to action, encouraging users to subscribe to a premium service to write their own posts. The overall tone is neutral and informative,12,2,4,65,06/27/2023,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_27.png,1,tweet,“I will not vote for a candidate that just wants to keep immigrants.”\n\nWho will end Mass Migration? It\'s Donald Trump!,K242878,A screenshot of a tweet with a quote. The quote expresses a stance on immigration policy. The image conveys a strong opinion on the issue, potentially with a political leaning.,233,2,14,15000,Aug 27,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_27.png,1,tweet,What's happening\n#FinanceAndPoliticsWeek\n\nCoca-Cola (COKE) Oct 26-31\nProvided by Binance Americas...,K242878,A screenshot of a tweet, likely a promotional tweet for an event or a news update. The image conveys a sense of information and potential engagement.,10,0,0,2,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_28.png,1,tweet,American food companies are knowingly exploiting US. This is a dip in the economy as seen in Washington DC.,Farhan Khan,A tweet expressing concern about American food companies exploiting the US economy, possibly with an image related to the economic situation in Washington DC.,142,16,7,13000,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_28.png,1,tweet,Content warning: Sensitive content.\nA linked post as shown below.,World Statistics,A tweet with a content warning, possibly indicating sensitive content in a linked post.,0,0,0,2529,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_28.png,1,tweet,Subscribe to Premium to write your own longer posts.\nWrite as good as fast and bold formatting such as bold and italic.,45th President of the United States of America,A tweet promoting a premium subscription for writing longer posts with formatting options.,0,0,0,2529,Sep 28, 2023,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_3.png,1,tweet,0.00001 murder suspects crossing our border! This isn't a border-security issue. It's a national security issue. How can we keep turning blind eye to the safety of our own families.,RedStoolken,An image of Donald Trump, depicted as a figure in a red, superhero-like costume, seemingly launching a missile or projectile at a statue of the Statue of Liberty, which is shown in a state of destruction or collapse. The image evokes a sense of anger, frustration, and perhaps a sense of impending danger or threat. The overall tone is dramatic and potentially confrontational.,14,8,57,488k,Sep 28,false,1.0,-1.0,0.0,0.0
1839971510259249237,screenshot_3.png,1,tweet,I want to let the next terrorist attack. #POTUS needs to be strong.,FarhanKhan,A graphic image of a person, possibly a terrorist, in a dark-colored outfit, with a weapon, possibly a bomb or explosive device, in their hand. The image is likely intended to convey a sense of danger, fear, and the need for strong leadership. The image is likely meant to be alarming and evoke a sense of urgency.,14,4,89,2,583k,Sep 28,false,1.0,-1.0
1839971510259249237,screenshot_30.png,1,tweet,Doug Ducharme says he and they were over it. You told us or they said you were over it.,Doug Ducharme,A tweet expressing a conversation or disagreement between two parties. The tone seems neutral, possibly reporting a discussion.,15,1,0,15k,Sep 28,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_30.png,1,tweet,Subscribe to Premium to write longer posts and add your own rich text formatting such as bold and italic.,45th President of the United States of America,A promotional tweet for a premium subscription service. The tone is promotional and informative.,0,0,0,0,Sep 28,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_30.png,1,tweet,Download E-Zibber Messenger for iOS and Android.,Jesus,A promotional tweet for a mobile application. The tone is promotional and informative.,0,0,0,0,Sep 28,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_33.png,1,tweet,"With all due respect, why is @secori_decamps targeting and asylum seekers?  Too big to rig.",Janice Gabbert,"A person holding a sign that says \TOO BIG TO RIG\"" in all capital letters. The sign is white with black text and stars. The image is likely meant to convey a sense of frustration and opposition to perceived election fraud or manipulation.""",10,0,0,2388,Oct 30, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_33.png,1,tweet,That's the number.  You can't double that and still it's a conservative number.,Farhan Akhtar,The image description is not available in the provided screenshot.,2,0,0,2503,Sep 30, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_33.png,1,tweet,45th President of the United States of America,Liisa K. Townsend,The image description is not available in the provided screenshot.,0,0,0,0,Sep 30, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_34.png,1,tweet,Global issues should be addressed.  Who should hold the accountable for this?  Doing what Trump put the country through with the country and make it collapse. Vote, elect the right people to end the regime.,Farhan Khan,A tweet expressing concern about global issues and the need for accountability. The tone is critical and suggests a desire for change,10,0,0,2500,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_34.png,1,tweet,They need to be firm and hard, soon, possible. We need one individual to speak to all people. Sending someone to speak will initiate an action or make them truly understand that something needs to be done.,Farhan Khan,A tweet expressing a need for decisive action and leadership on a global issue. The tone is assertive and suggests a lack of satisfaction with current approaches,4,0,0,2500,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_34.png,1,tweet,45th President of the United States of America,Farhan Khan,A tweet that mentions the 45th President of the United States of America. The tone is neutral and informative,0,0,0,0,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_35.png,1,tweet,It's time to take back COUNTRY!!\n\n#FIGHTPresident,OysterPage,"A graphic image with the text \TOO BIG TO RIG\"" in large", bold letters," displayed on a poster held by someone. The image appears to be a protest or demonstration related to election integrity. The image evokes a sense of urgency and determination.""",9,1,7,13k,"Sep 28, 2023",false,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1839971510259249237,screenshot_35.png,1,tweet,SUPPORT PRESIDENT \nwhen the ships out of the way FIGHT FIGHT FIGHT\n#FightFight #MAGA2024 #MAGA2024,OysterPage,An image of Donald Trump. The image evokes a sense of support and encouragement for the president.,1038,20,288,2533,"Sep 28, 2023",false,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
1839971510259249237,screenshot_36.png,1,tweet,FIGHT! FIGHT! ,,,,,,,,,,,,,,,,,,
45th President of the United States of America,,,,,,,,,,,,,,,,,,,,,,
Subscribe to Premium to write your own longer posts.,,,,,,,,,,,,,,,,,,,,,,
Write longer posts and add formatting such as bold, italic, and lists.,,,,,,,,,,,,,,,,,,,,
Subscribe,realDonaldTrump,"A promotional tweet for a premium subscription service, likely on a social media platform. The image conveys a sense of authority and importance, possibly aiming to attract subscribers.",13,2,48,0,Sep 28,true,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1839971510259249237,screenshot_36.png,1,tweet,I'm fighting for YOU!!!,FarhanKhan95411,"A tweet expressing support for someone, likely a political figure or cause. The image conveys a sense of strong support and solidarity.",3,0,0,0,Sep 28,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_40.png,1,tweet,"I'm doing a heckuva job. If I do so myself, Which I do.",Erinx,A tweet with an image of a man (presumably Donald Trump) with a caption that suggests a sense of accomplishment and self-reliance,13,1,6,187,Oct 26, 2023,false,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
1839971510259249237,screenshot_40.png,1,tweet,"Call The HYPOCRISY you always see concerning 24/7 RAST reports with many trends, he\'s been penalized. Are you serious?  44 people RUNNING FOR THE TOP OFFICE in the WORLD.  Are you serious?  and to be honest, I don't think it's going to be easy to do.",Farhan Khan,"A tweet expressing a critical view of the political climate, possibly regarding the 2024 US presidential election",2,3,3,13000,2h,false,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
1839971510259249237,screenshot_40.png,1,tweet,"Subscribe to Premium to write your own long posts. Write in bold, italic, and bold italic formatting such as bold and italic.",45th President of the United States of America,A tweet promoting a premium subscription service for writing longer posts,0,0,0,0,Oct 26, 2023,true,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_47.png,1,tweet,Well that was a deal that was gone to deal with this Republican block you needed something to run your Republican buddies this house since the deal.,MidtownTrail,A tweet expressing a political opinion about a political deal. The tone is critical and potentially cynical about the Republican party's actions,6,0,0,380,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_47.png,1,tweet,What's the one thing they have in common?,Conservative_Origs,A tweet posing a question about a shared characteristic among a group of people. The tone is neutral and inquisitive,10,0,0,2593,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_48.png,1,tweet,When you report $500,000,000 in charitable activity, how are we supposed to know which is legit and which isn't?  How are you not getting such scrutiny looking at Kamala Harris?,Joey Mannarino,A man with a serious expression is shown on the image, possibly conveying concern or skepticism about the reported charitable activity.,185,1,1,10.8k,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_48.png,1,tweet,I can't believe a day can be so very wrong. Beat my record on the world's finest bed anything. Therey, look, Batman's sleep sheets.,Farhan Khan,The image shows a person expressing frustration or disappointment about a bad day.,23,3,3,1.3k,Sep 28, 2023,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_51.png,1,tweet,45th President of the United States of America\n\nSubscribe to Premium to write your own longer posts.\nWrite longer posts and apply formatting such as bold and italic.,Marie Collier,A promotional tweet for a premium subscription service on a social media platform. The image conveys a sense of opportunity and potential for users to express themselves in more detail.,0,0,0,0,Sep 29,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_51.png,1,tweet,What's happening\n#FinanceWeek on Oct 26-31\nProvided by United Arab Emirates,Marie Collier,"A tweet about an event, likely related to finance or business. It's a neutral message, conveying information about an upcoming event.",0,0,0,0,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_51.png,1,tweet,Why do you suppose the border separation will kill you?\n\nWhy do you suppose the border separation will kill you?\n\n[Reply to @D_O\'Donnell]\n\nDo you think it is higher than what that the Hororary?,Ayadollah K. Najibi,"A tweet asking a question about a sensitive topic, likely related to political or social issues. The tone is inquisitive and potentially confrontational.",0,0,0,0,Sep 29,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
